TYPE;YEAR;MONTH;DAY;HOUR;MINUTE;HUNDRED_BLOCK;NEIGHBOURHOOD;X;Y;Latitude;Longitude
Theft from Vehicle;2003;9;9;13;30;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;8;25;0;15;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;5;27;6;15;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Offence Against a Person;2003;1;22;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;5;22;15;30;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Offence Against a Person;2003;9;12;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Mischief;2003;1;24;14;10;41XX ALEXANDRA ST;Shaughnessy;489706.9;5455180.78;49.24931147;-123.1414339
Break and Enter Residential/Other;2003;9;6;21;20;18XX E 6TH AVE;Grandview-Woodland;495153.82;5456927.99;49.26509537;-123.0666109
Break and Enter Residential/Other;2003;9;9;9;0;18XX E 7TH AVE;Grandview-Woodland;495070.2;5456828.59;49.26420058;-123.067759
Offence Against a Person;2003;11;7;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;5;16;22;40;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;4;24;16;0;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;3;30;19;45;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;3;15;1;20;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Theft from Vehicle;2003;3;14;20;0;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Break and Enter Commercial;2003;4;8;4;45;10XX BURNABY ST;West End;490462.47;5458477.44;49.27897776;-123.1311305
Theft from Vehicle;2003;3;7;21;0;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Break and Enter Residential/Other;2003;4;28;8;0;64XX DUMFRIES ST;Victoria-Fraserview;494578.45;5452558.94;49.22578995;-123.0744603
Theft from Vehicle;2003;3;7;0;15;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Offence Against a Person;2003;5;21;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Offence Against a Person;2003;12;9;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Break and Enter Commercial;2003;9;16;1;45;10XX BEACH AVE;Central Business District;490258.41;5458154.85;49.27607279;-123.1339282
Theft from Vehicle;2003;1;20;7;0;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Mischief;2003;8;16;10;30;41XX BOUNDARY RD;Renfrew-Collingwood;498260.04;5454931.66;49.24715468;-123.0239071
Break and Enter Residential/Other;2003;10;9;5;45;18XX E 7TH AVE;Grandview-Woodland;495088.21;5456828.44;49.26419937;-123.0675115
Theft from Vehicle;2003;1;5;2;0;11XX HOWE ST;Central Business District;490860.47;5458453.14;49.27876526;-123.1256579
Offence Against a Person;2003;10;1;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;1;23;10;0;11XX JERVIS ST;West End;490303.9;5459015.23;49.28381277;-123.1333237
Theft from Vehicle;2003;4;15;18;0;11XX KEEFER ST;Strathcona;494091.91;5458493.1;49.27916448;-123.08123
Theft from Vehicle;2003;12;3;18;0;11XX KEEFER ST;Strathcona;494091.89;5458483.95;49.27908217;-123.0812301
Theft from Vehicle;2003;4;11;17;30;11XX KEEFER ST;Strathcona;494091.89;5458483.95;49.27908217;-123.0812301
Break and Enter Residential/Other;2003;12;24;12;0;18XX E 7TH AVE;Grandview-Woodland;495149.98;5456827.94;49.26419537;-123.0666625
Break and Enter Residential/Other;2003;5;2;13;33;18XX E 7TH AVE;Grandview-Woodland;495152.55;5456827.92;49.26419521;-123.0666271
Theft from Vehicle;2003;9;7;18;30;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;11;29;13;30;11XX PACIFIC BLVD;Central Business District;491346.15;5457969.14;49.27441867;-123.1189699
Offence Against a Person;2003;8;13;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;9;10;9;0;11XX PACIFIC BLVD;Central Business District;491346.15;5457969.14;49.27441867;-123.1189699
Theft from Vehicle;2003;8;17;15;45;11XX PACIFIC BLVD;Central Business District;491346.15;5457969.14;49.27441867;-123.1189699
Theft from Vehicle;2003;5;10;8;0;11XX PACIFIC BLVD;Central Business District;491346.15;5457969.14;49.27441867;-123.1189699
Mischief;2003;12;14;14;0;13XX HARO ST;West End;490568.96;5459292.86;49.28631424;-123.1296856
Mischief;2003;11;27;14;0;41XX COMMERCIAL ST;Kensington-Cedar Cottage;495068.44;5455040.98;49.24812064;-123.0677612
Theft from Vehicle;2003;1;7;20;0;11XX PACIFIC BLVD;Central Business District;491346.15;5457969.14;49.27441867;-123.1189699
Theft from Vehicle;2003;9;5;0;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;5;8;0;0;11XX PACIFIC BLVD;Central Business District;491300.67;5457990.42;49.27460944;-123.1195956
Theft from Vehicle;2003;10;1;18;21;11XX PACIFIC BLVD;Central Business District;491249.43;5457973.37;49.27445534;-123.1202996
Break and Enter Residential/Other;2003;2;10;14;37;18XX E 8TH AVE;Grandview-Woodland;495126.16;5456718.4;49.26320984;-123.0669885
Theft from Vehicle;2003;7;18;8;40;11XX PACIFIC BLVD;Central Business District;491249.43;5457973.37;49.27445534;-123.1202996
Mischief;2003;2;10;1;0;41XX DUNBAR ST;Dunbar-Southlands;486526.22;5455172.39;49.24917423;-123.185138
Mischief;2003;2;8;20;0;41XX DUNBAR ST;Dunbar-Southlands;486526.33;5455189.95;49.24933219;-123.1851371
Theft from Vehicle;2003;5;15;22;0;11XX PACIFIC BLVD;Central Business District;491249.43;5457973.37;49.27445534;-123.1202996
Theft from Vehicle;2003;1;23;18;3;11XX PACIFIC BLVD;Central Business District;491249.43;5457973.37;49.27445534;-123.1202996
Theft from Vehicle;2003;8;15;0;30;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Break and Enter Residential/Other;2003;2;24;15;0;18XX E 8TH AVE;Grandview-Woodland;495142.89;5456718.16;49.26320782;-123.0667586
Theft from Vehicle;2003;3;3;18;0;11XX PACIFIC BLVD;Central Business District;491220.14;5457934.81;49.27410807;-123.1207015
Theft from Vehicle;2003;8;3;17;30;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Mischief;2003;12;2;21;30;41XX FRASER ST;Kensington-Cedar Cottage;493443.23;5455097;49.24860929;-123.090093
Offence Against a Person;2003;11;24;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;7;18;8;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;7;17;10;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;5;2;21;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Mischief;2003;1;27;3;0;13XX HARWOOD ST;West End;490025.81;5458758.77;49.2815014;-123.1371411
Mischief;2003;2;13;15;0;41XX GLADSTONE ST;Kensington-Cedar Cottage;495591.66;5455030.19;49.24802757;-123.0605719
Mischief;2003;5;16;13;0;41XX GLADSTONE ST;Kensington-Cedar Cottage;495591.66;5455030.19;49.24802757;-123.0605719
Break and Enter Residential/Other;2003;5;12;9;20;18XX E 8TH AVE;Grandview-Woodland;495148.6;5456727.22;49.26328936;-123.0666802
Mischief;2003;6;17;12;30;41XX GLADSTONE ST;Kensington-Cedar Cottage;495591.66;5455030.19;49.24802757;-123.0605719
Mischief;2003;6;24;9;50;41XX GLADSTONE ST;Kensington-Cedar Cottage;495591.66;5455030.19;49.24802757;-123.0605719
Mischief;2003;10;10;20;30;41XX GLADSTONE ST;Kensington-Cedar Cottage;495591.66;5455030.19;49.24802757;-123.0605719
Theft from Vehicle;2003;4;27;18;30;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;3;30;17;40;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;1;12;18;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;1;1;4;15;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;1;1;0;0;11XX HOWE ST;Central Business District;490849.97;5458442.5;49.27866939;-123.125802
Theft from Vehicle;2003;6;17;15;0;11XX KEEFER ST;Strathcona;494134.16;5458483.87;49.27908186;-123.080649
Theft from Vehicle;2003;5;5;14;30;11XX HOWE ST;Central Business District;490828.76;5458434.04;49.27859298;-123.1260934
Theft from Vehicle;2003;5;4;21;30;11XX HOWE ST;Central Business District;490818.26;5458423.4;49.27849711;-123.1262375
Break and Enter Residential/Other;2003;7;12;17;0;18XX E 8TH AVE;Grandview-Woodland;495194.94;5456717.42;49.26320157;-123.0660432
Theft from Vehicle;2003;6;4;22;30;11XX LAMEYS MILL RD;Fairview;490611.77;5457074.1;49.26635679;-123.1290448
Theft from Vehicle;2003;12;23;0;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Offence Against a Person;2003;8;2;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;8;2;18;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Break and Enter Commercial;2003;6;21;20;30;10XX BURRARD ST;West End;490729.83;5458622.34;49.28028527;-123.1274579
Offence Against a Person;2003;11;14;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Break and Enter Residential/Other;2003;1;21;21;45;18XX E GEORGIA ST;Grandview-Woodland;495056.85;5458408.52;49.27841223;-123.067962
Break and Enter Residential/Other;2003;5;5;14;0;18XX E GEORGIA ST;Grandview-Woodland;495056.85;5458408.52;49.27841223;-123.067962
Break and Enter Residential/Other;2003;7;3;23;0;18XX E GEORGIA ST;Grandview-Woodland;495056.85;5458408.52;49.27841223;-123.067962
Theft from Vehicle;2003;7;8;7;45;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;6;25;7;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;6;21;20;50;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;6;16;21;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Offence Against a Person;2003;8;16;;;OFFSET TO PROTECT PRIVACY;;0;0;0;0
Theft from Vehicle;2003;4;28;17;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;3;31;19;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;3;30;0;0;11XX HOWE ST;Central Business District;490768.06;5458359.53;49.27792183;-123.1269262
Theft from Vehicle;2003;12;21;9;29;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Theft from Vehicle;2003;11;8;22;30;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Theft from Vehicle;2003;8;25;23;0;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Theft from Vehicle;2003;6;21;3;20;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Break and Enter Residential/Other;2003;1;23;17;15;64XX KILLARNEY ST;Killarney;496679.3;5452498.51;49.22526136;-123.0456064
Break and Enter Residential/Other;2003;1;28;17;15;64XX KILLARNEY ST;Killarney;496679.3;5452498.51;49.22526136;-123.0456064
Break and Enter Residential/Other;2003;11;1;16;20;64XX KILLARNEY ST;Killarney;496679.3;5452498.51;49.22526136;-123.0456064
Theft from Vehicle;2003;6;20;22;45;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Break and Enter Residential/Other;2003;12;20;22;0;18XX E GEORGIA ST;Grandview-Woodland;495079.1;5458417;49.27848869;-123.0676562
Theft from Vehicle;2003;6;20;12;30;11XX HOWE ST;Central Business District;490761.55;5458365.96;49.27797957;-123.1270159
Theft from Vehicle;2003;5;1;15;0;11XX LILY ST;Grandview-Woodland;495298.85;5458002.56;49.27476246;-123.0646301
Theft from Vehicle;2003;10;15;16;30;12XX ALBERNI ST;West End;490834.05;5459342.89;49.2867683;-123.1260415
Theft from Vehicle;2003;7;3;15;30;12XX ALBERNI ST;West End;490834.05;5459342.89;49.2867683;-123.1260415
Theft from Vehicle;2003;7;8;21;0;11XX RICHARDS ST;Central Business District;491075.32;5458241;49.2768602;-123.1226992
